Parser,Mean,Std dev,Median
getopts,1.9,0.6,2.0
getopt,5.6,1.4,6.0
shFlags,250.6,42.2,262.0
docopts,12.3,3.6,12.0
Shell Argparser,135.1,1.6,135.0
